hhid,round,gps_latitude,gps_longitude
10005,1,2.7,37.700001
10006,1,2.7,37.700001
10007,1,2.7,37.700001
10008,1,2.8,37.5
10009,1,2.7,37.700001
10010,1,2.7,37.700001
10011,1,2.5999999,37.5
10012,1,2.7,37.700001
10013,1,2.7,37.5
10014,1,2.7,37.5
10015,1,2.7,37.5
10016,1,2.7,37.5
10017,1,2.7,37.5
10018,1,2.7,37.5
10019,1,2.7,37.700001
10020,1,2.8,37.799999
10021,1,2.7,37.700001
10022,1,2.7,37.700001
10023,1,2.7,37.700001
10024,1,2.7,37.700001
10025,1,2.7,37.700001
10026,1,2.7,37.700001
10027,1,2.7,37.700001
10028,1,2.7,37.5
10029,1,2.7,37.700001
10030,1,2.7,37.700001
11001,1,2.3,38
11002,1,2,38.099998
11003,1,2.5,38.099998
11004,1,2.0999999,38.099998
11005,1,2.0999999,38.200001
11006,1,2.0999999,38.099998
11007,1,2.2,37.900002
11008,1,2.2,37.900002
11010,1,2.2,37.900002
11011,1,2.2,37.900002
11012,1,2.2,38
11013,1,2.2,38
11014,1,2.3,37.900002
11015,1,2.2,38.200001
11018,1,2.2,38
11019,1,2.3,38
11020,1,2.2,38
11021,1,2.2,38
11022,1,2,38.099998
11023,1,2.0999999,38.099998
11024,1,2.0999999,38.099998
11025,1,2.2,38.099998
11026,1,2.2,38.099998
11027,1,2.0999999,38.099998
11028,1,2.0999999,38.099998
11029,1,2.0999999,38.200001
11030,1,2.0999999,38.099998
11032,1,2.0999999,38.099998
11033,1,2.0999999,38.099998
11034,1,2.0999999,38.200001
11035,1,2.0999999,38.099998
11036,1,2.0999999,38.099998
11037,1,2.2,37.900002
11038,1,2,37.900002
11039,1,2.0999999,37.900002
11040,1,2,37.900002
11041,1,2,37.900002
11042,1,2.0999999,37.900002
11043,1,2,37.900002
11044,1,2.0999999,37.900002
11045,1,2.0999999,38.200001
11046,1,2.0999999,37.900002
11047,1,2,38.099998
11049,1,2,38.099998
11050,1,2,37.900002
11052,1,,
12001,1,2,37.5
12002,1,2,37.5
12003,1,2.0999999,37.5
12004,1,2,37.400002
12005,1,2,37.400002
12006,1,2,37.400002
12007,1,2,37.400002
12008,1,1.9,37.400002
12009,1,1.9,37.400002
12010,1,2.0999999,37.400002
12011,1,2.0999999,37.400002
12012,1,2.0999999,37.400002
12014,1,1.9,37.5
12015,1,2,37.299999
12016,1,2.0999999,37.299999
12017,1,2.0999999,37.299999
12018,1,2.2,37.400002
12019,1,2.2,37.400002
12020,1,2.2,37.400002
12021,1,2.2,37.400002
12022,1,2.2,37.400002
12023,1,2.0999999,37.5
12024,1,2.0999999,37.5
12025,1,2.0999999,37.5
12026,1,2,37.400002
12027,1,2,37.400002
12028,1,2.0999999,37.400002
12029,1,2,37.299999
12030,1,2,37.299999
12031,1,2,37.400002
12032,1,2.0999999,37.299999
12033,1,2.0999999,37.299999
12034,1,2.0999999,37.299999
12035,1,2.0999999,37.299999
12036,1,2,37.299999
12037,1,2.0999999,37.299999
12044,1,2.0999999,37.299999
13001,1,1.6,37.900002
13002,1,1.8,37.900002
13003,1,1.6,37.900002
13004,1,1.8,37.700001
13005,1,1.6,37.900002
13006,1,1.8,37.900002
13007,1,1.8,37.700001
13008,1,1.8,37.900002
13009,1,1.6,37.900002
13010,1,1.7,37.700001
13011,1,1.8,37.799999
13012,1,1.8,37.900002
13013,1,1.8,37.700001
13014,1,1.8,37.900002
13015,1,1.7,37.799999
13016,1,1.8,37.599998
13017,1,1.7,37.799999
13018,1,1.7,37.799999
13019,1,1.7,37.799999
13020,1,1.6,37.799999
13021,1,1.8,37.700001
13022,1,1.8,37.700001
13023,1,1.7,37.700001
13025,1,1.8,37.700001
13026,1,1.8,37.900002
13028,1,1.6,37.900002
13029,1,1.6,37.799999
13030,1,1.8,37.599998
13035,1,1.6,37.799999
13036,1,1.6,37.799999
14001,1,3,36.799999
14002,1,3,37
14003,1,2.8,36.799999
14004,1,,
14005,1,2.9000001,36.700001
14006,1,2.8,36.700001
14007,1,,
14008,1,2.8,36.700001
14009,1,2.8,36.700001
14010,1,2.8,36.700001
14011,1,2.9000001,36.900002
14012,1,2.8,36.700001
14013,1,2.8,36.799999
14014,1,2.8,36.799999
14015,1,2.9000001,36.799999
14016,1,2.9000001,36.799999
14017,1,2.9000001,36.799999
14018,1,2.9000001,36.799999
14019,1,2.8,36.799999
14020,1,2.8,36.799999
14021,1,2.8,36.799999
14022,1,2.8,36.799999
14023,1,3,37
14024,1,2.8,36.700001
14025,1,2.9000001,36.900002
14026,1,2.9000001,36.900002
14027,1,2.9000001,36.900002
14028,1,2.8,36.799999
14029,1,2.9000001,36.799999
14030,1,2.8,36.700001
14031,1,2.8,36.900002
14033,1,3,36.799999
14035,1,2.8,36.799999
14037,1,2.8,36.799999
14038,1,2.8,36.799999
14039,1,2.9000001,37
14040,1,2.9000001,36.700001
14041,1,2.8,36.900002
14043,1,2.8,36.700001
14044,1,,
14045,1,3.0999999,36.5
14046,1,2.8,36.799999
14048,1,2.8,36.700001
14049,1,3,36.799999
14050,1,2.9000001,36.799999
14051,1,2.8,37
14052,1,3,37
14053,1,3,37
14054,1,3,37
14056,1,3,36.700001
14057,1,2.8,36.700001
14058,1,2.7,36.900002
14059,1,2.8,36.799999
14060,1,2.7,36.900002
14061,1,2.7,36.900002
14062,1,2.8,36.799999
14064,1,2.8,36.799999
14065,1,2.9000001,36.799999
14066,1,2.8,36.900002
14067,1,2.9000001,36.900002
14068,1,3,37
14069,1,2.8,36.700001
14071,1,,
14073,1,2.8,36.900002
14074,1,,
14075,1,2.8,36.700001
14076,1,2.9000001,36.700001
14077,1,2.9000001,36.799999
14078,1,3,37
14081,1,2.7,36.900002
14082,1,2.8,37
14083,1,2.8,37
14085,1,2.8,36.799999
14086,1,2.8,37
14087,1,2.8,37
14088,1,2.9000001,36.799999
14089,1,2.9000001,36.799999
14090,1,2.9000001,36.799999
14091,1,2.9000001,36.900002
14092,1,2.9000001,36.799999
14094,1,2.8,36.799999
14095,1,2.8,37
14096,1,2.8,36.799999
14097,1,2.8,36.799999
14098,1,2.8,36.900002
14099,1,2.8,36.900002
14100,1,2.8,36.799999
14103,1,2.8,36.799999
14104,1,2.8,36.799999
14105,1,2.8,36.700001
14106,1,2.8,36.799999
14108,1,3,37
14109,1,2.8,37
14110,1,2.8,36.700001
14111,1,2.8,36.900002
14112,1,2.9000001,36.799999
14113,1,3,36.700001
14114,1,2.8,37
14115,1,2.8,36.799999
14116,1,2.8,36.799999
15001,1,1.9,37.400002
15002,1,1.9,37.700001
15003,1,1.8,37.299999
15005,1,1.8,37.5
15006,1,1.8,37.599998
15007,1,1.9,37.299999
15008,1,1.7,37.5
15009,1,1.8,37.599998
15010,1,1.8,37.400002
15012,1,1.9,37.400002
15013,1,1.9,37.400002
15014,1,1.8,37.599998
15016,1,1.9,37.5
15018,1,1.8,37.299999
15019,1,1.9,37.400002
15020,1,1.8,37.400002
15021,1,1.8,37.599998
15022,1,1.9,37.5
15023,1,1.9,37.299999
15024,1,1.9,37.599998
15025,1,1.9,37.299999
15026,1,1.9,37.400002
15027,1,1.8,37.599998
15028,1,1.9,37.400002
15029,1,1.9,37.5
15030,1,2,37.5
15031,1,2,37.5
15033,1,1.9,37.400002
15034,1,1.8,37.599998
15035,1,1.8,37.400002
15036,1,1.9,37.299999
15037,1,1.9,37.400002
15038,1,1.8,37.599998
15039,1,1.9,37.299999
15040,1,1.8,37.299999
15041,1,1.9,37.400002
15042,1,2,37.5
15044,1,1.8,37.5
15046,1,1.9,37.400002
15047,1,2,37.5
15048,1,1.9,37.5
15050,1,1.8,37.599998
16001,1,2.3,37
16002,1,2.2,37
16003,1,2.3,37.099998
16004,1,2.2,37
16005,1,2.2,37
16006,1,2.3,37
16007,1,2.3,37
16008,1,2.2,37
16009,1,2.3,37.099998
16010,1,2.2,37
16011,1,2.2,37.200001
16012,1,2.3,37.099998
16013,1,2.2,37.099998
16014,1,2.3,37
16015,1,2.2,37
16016,1,2.3,37
16017,1,2.3,37
16018,1,2.2,37
16019,1,2.3,37
16020,1,2.0999999,37.200001
16021,1,2.3,37.099998
16022,1,2.3,37.099998
16023,1,2.3,37.099998
16024,1,2.0999999,37.099998
16025,1,2.0999999,37
16026,1,2.2,37
16027,1,2.0999999,37
16028,1,2.2,37
16029,1,2.3,37.099998
16030,1,2.3,37.099998
16031,1,2.2,37
16032,1,2.0999999,37
16033,1,2.3,37.099998
16034,1,2.3,37.099998
16035,1,2.3,37.099998
16036,1,2.3,37
16037,1,2.2,37
16038,1,2.2,37
16039,1,2.0999999,37
16040,1,2.0999999,37
16041,1,2.0999999,37
16042,1,2.3,37.099998
16043,1,2.3,37.099998
16044,1,2.4000001,37
16045,1,2.2,37
16046,1,2.2,37
16047,1,2.3,37.099998
1002,2,,
1003,2,,
1004,2,,
1005,2,,
1006,2,,
1007,2,,
1008,2,,
1009,2,,
1010,2,,
1011,2,,
1012,2,,
1013,2,,
1014,2,,
1015,2,,
1016,2,,
1017,2,,
1018,2,,
1019,2,,
1020,2,,
1021,2,,
1022,2,,
1023,2,,
1024,2,,
1025,2,,
1026,2,,
1027,2,,
1029,2,,
1031,2,,
1032,2,,
1033,2,,
1034,2,,
1035,2,,
1036,2,,
1037,2,,
1038,2,,
1039,2,,
1043,2,,
1045,2,,
1047,2,,
2001,2,,
2002,2,,
2003,2,,
2004,2,,
2005,2,,
2006,2,,
2007,2,,
2008,2,,
2009,2,,
2010,2,,
2011,2,,
2012,2,,
2013,2,,
2015,2,,
2016,2,,
2017,2,,
2018,2,,
2019,2,,
2020,2,,
2021,2,,
2022,2,,
2023,2,,
2024,2,,
2025,2,,
2026,2,,
2027,2,,
2028,2,,
2029,2,,
2030,2,,
2031,2,,
2032,2,,
2033,2,,
2034,2,,
2035,2,,
2036,2,,
2037,2,,
2038,2,,
2039,2,,
2040,2,,
2041,2,,
2042,2,2.2,38
2043,2,,
2044,2,,
2045,2,,
2046,2,,
2047,2,,
2048,2,,
2049,2,,
2050,2,2.2,38
2051,2,,
2052,2,,
2053,2,,
2054,2,,
2055,2,,
2056,2,2.2,38
2057,2,,
2058,2,,
2059,2,,
2060,2,,
2061,2,,
2062,2,,
2063,2,,
2064,2,,
2065,2,,
2066,2,,
2067,2,,
2068,2,,
2069,2,,
2070,2,,
2071,2,,
2072,2,,
2073,2,,
2074,2,,
2075,2,,
2076,2,,
2077,2,,
2078,2,,
2079,2,,
2080,2,,
2081,2,,
2082,2,,
2083,2,,
2084,2,,
2086,2,,
2088,2,,
2089,2,,
2090,2,,
2091,2,,
2092,2,,
2093,2,,
2094,2,,
2096,2,,
