hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
13014,5,0,Remained the same,,,,,,,,,,,,,Protected well,,0,20,No,Protected well,,Yes
13014,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13015,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,No,Unprotected well,,Yes
13015,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,No
13015,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13015,5,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,No,Borehole,,Yes
13015,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13016,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,Yes,Unprotected well,,Yes
13016,3,0,Remained the same,,,,,,,,,,,,,Protected well,,1,,No,Protected well,,Yes
13016,4,0,improved,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,0,45,No,Unprotected well,,Yes
13016,5,0,Remained the same,,,,,,,,,,,,,Protected well,,0,50,No,Protected well,,Yes
13016,6,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,Yes,Borehole,,Yes
13017,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,10,No,Unprotected well,,Yes
13017,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,No
13017,4,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Public tap,,Yes
13017,5,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,No,Borehole,,Yes
13017,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,20,No,Unprotected well,,Yes
13018,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,2,40,No,Unprotected well,,No
13018,3,0,Remained the same,,,,,,,,,,,,,River,,1,,No,River,,Yes
13018,4,0,Remained the same,,,,,,,,,,,,,Protected well,,3,,No,Protected well,,Yes
